NOME,ano,turno,debate,meme,formato,opp,proposta,manifestacao,bastidores,print,print_tv,print_web,divulgacao,citacao,marcas,humor,narrativa,agenda,efeito,engajamento,interacao,campanha_negativa,tema,funcao,subfuncao,aecio,alckmin,alvaro_dias,temer,marcela_temer,daciolo,bolsonaro_jair,bolsokid_edu,bolsokid_flavio,bolsokid_carlos,lula,dilma,haddad,manu,ciro,marina,boulos,doria,fhc,marielle,gilmar,gleisi,amoedo,maia,meirelles,joaquim_barbosa,kataguiri,frota,eymael,eduardo_jorge,janaina,olavo,mourao,trump,outros,pt,psl,novo,mdb,psol,psdb,pdt,dem,rede,outros,stf,coxinhas,bolsominions,mortadelas,militares,mbl,outros
BAND_001,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,1,0,0,0,0,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,2,22 Ação conectiva híbrida e redes catalisadas por organizações,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAND_002,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,1,0,0,0,0,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,2,22 Ação conectiva híbrida e redes catalisadas por organizações,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAND_003,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,1,0,0,0,0,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,2,22 Ação conectiva híbrida e redes catalisadas por organizações,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAND_004,2018,1,Band,1,EXPLO Exploitable,0,0,0,0,0,1,0,0,0,0,3 Incongruência,1 Narrativa privada ou pessoal,9 Dúvida,2 Satírico,0,0,0,OUTRO Outros,3,34 Piadas situacionais,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_005,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,1,0,0,0,0,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,2,22 Ação conectiva híbrida e redes catalisadas por organizações,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAND_006,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,1,0,0,0,0,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,2,22 Ação conectiva híbrida e redes catalisadas por organizações,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BAND_007,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,1,0,0,0,0,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,2,22 Ação conectiva híbrida e redes catalisadas por organizações,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BAND_008,2018,1,Band,1,TROLL Trollagem,0,0,0,0,0,0,1,0,0,0,1 Superioridade,1 Narrativa privada ou pessoal,1 Agenda negativa autodeterminação,2 Satírico,0,0,1,OUTRO Outros,3,31 Lugares-comuns da política,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BAND_009,2018,1,Band,0,OUTRO Outros,0,0,0,1,0,0,0,0,0,0,0 Nenhum ou não-identificado,1 Narrativa privada ou pessoal,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,2,21 Ação coletiva e redes curadas por organizações,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAND_010,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,1,0,0,0,0,0 Nenhum ou não-identificado,1 Narrativa privada ou pessoal,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,2,24 Ação conectiva de engajamento relativo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAND_011,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,1,0,0,0,0,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,2,24 Ação conectiva de engajamento relativo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_012,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,1,0,0,0,0,0 Nenhum ou não-identificado,1 Narrativa privada ou pessoal,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,2,24 Ação conectiva de engajamento relativo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAND_013,2018,1,Band,1,ZOOM Zoom-in,0,0,0,0,0,1,0,0,0,0,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,2,24 Ação conectiva de engajamento relativo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAND_014,2018,1,Band,1,REAC Reaction Face ou GIF,0,0,0,0,0,0,0,0,0,0,1 Superioridade,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,3 Fático,0,0,0,OUTRO Outros,3,32 Alusões literárias ou culturais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_015,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,1,0,0,0,0,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,2,24 Ação conectiva de engajamento relativo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BAND_016,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,1,0,0,0,0,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,2,24 Ação conectiva de engajamento relativo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAND_017,2018,1,Band,1,REAC Reaction Face ou GIF,0,0,0,0,0,0,0,0,0,0,1 Superioridade,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,3 Fático,0,0,0,OUTRO Outros,3,32 Alusões literárias ou culturais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_018,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,0,0,0,0,0,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAND_019,2018,1,Band,1,REAC Reaction Face ou GIF,0,0,0,0,0,0,0,0,0,0,1 Superioridade,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,3 Fático,0,0,0,OUTRO Outros,3,32 Alusões literárias ou culturais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_020,2018,1,Band,0,OUTRO Outros,0,0,0,1,0,0,0,0,0,0,0 Nenhum ou não-identificado,1 Narrativa privada ou pessoal,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,2,21 Ação coletiva e redes curadas por organizações,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BAND_021,2018,1,Band,1,CATCH Catchphrase,0,0,0,0,0,0,0,0,0,0,1 Superioridade,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,3 Fático,0,0,0,OUTRO Outros,2,24 Ação conectiva de engajamento relativo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_022,2018,1,Band,1,REAC Reaction Face ou GIF,0,0,0,0,0,0,0,0,0,0,3 Incongruência,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,3 Fático,0,0,0,OUTRO Outros,3,32 Alusões literárias ou culturais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_023,2018,1,Band,1,EXPLO Exploitable,0,0,0,0,0,0,0,0,0,1,3 Incongruência,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,2 Satírico,0,0,1,OUTRO Outros,3,33 Piadas sobre personagens da política,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BAND_024,2018,1,Band,1,EXPLO Exploitable,0,0,0,0,0,0,0,0,0,0,3 Incongruência,2 Narrativa coletiva ou pública,0 Nenhum ou não-identificado,2 Satírico,0,0,0,OUTRO Outros,3,32 Alusões literárias ou culturais,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAND_025,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,0,1,0,1,0,0 Nenhum ou não-identificado,2 Narrativa coletiva ou pública,0 Nenhum ou não-identificado,1 Explicativo ou informativo,0,0,0,ECO Economia e reformas,1,14 Retórica crítica e apelo à credibilidade da fonte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BAND_026,2018,1,Band,1,REAC Reaction Face ou GIF,0,0,0,0,0,0,0,0,0,0,1 Superioridade,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,3 Fático,0,0,0,OUTRO Outros,3,32 Alusões literárias ou culturais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_027,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,0,0,0,0,0,0 Nenhum ou não-identificado,1 Narrativa privada ou pessoal,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,3,39 Dúvida,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_028,2018,1,Band,1,EXPLO Exploitable,0,1,0,0,0,0,0,0,0,0,1 Superioridade,1 Narrativa privada ou pessoal,9 Dúvida,2 Satírico,0,0,9,ECO Economia e reformas,3,33 Piadas sobre personagens da política,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_029,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,0,0,0,0,0,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_030,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,0,0,0,0,0,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAND_031,2018,1,Band,1,MACRO Image Macro,0,0,0,0,0,0,0,0,0,0,1 Superioridade,1 Narrativa privada ou pessoal,1 Agenda negativa autodeterminação,2 Satírico,0,0,1,OUTRO Outros,3,34 Piadas situacionais,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_032,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,0,1,0,0,0,0 Nenhum ou não-identificado,1 Narrativa privada ou pessoal,1 Agenda negativa autodeterminação,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,2,24 Ação conectiva de engajamento relativo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_033,2018,1,Band,1,REAC Reaction Face ou GIF,0,0,0,0,0,0,0,0,0,0,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,3 Fático,0,0,0,OUTRO Outros,3,32 Alusões literárias ou culturais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_034,2018,1,Band,1,FAD Photofad ou Videofad,0,0,0,0,0,0,0,0,0,0,1 Superioridade,1 Narrativa privada ou pessoal,0 Nenhum ou não-identificado,2 Satírico,0,0,0,OUTRO Outros,3,34 Piadas situacionais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BAND_035,2018,1,Band,1,REAC Reaction Face ou GIF,0,0,0,0,0,1,0,0,0,0,1 Superioridade,1 Narrativa privada ou pessoal,0 Nenhum ou não-identificado,2 Satírico,0,0,0,OUTRO Outros,3,34 Piadas situacionais,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_036,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,0,1,0,1,0,0 Nenhum ou não-identificado,2 Narrativa coletiva ou pública,0 Nenhum ou não-identificado,1 Explicativo ou informativo,0,0,0,OUTRO Outros,1,14 Retórica crítica e apelo à credibilidade da fonte,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
BAND_037,2018,1,Band,1,REAC Reaction Face ou GIF,0,0,0,0,0,0,0,0,0,0,1 Superioridade,1 Narrativa privada ou pessoal,0 Nenhum ou não-identificado,2 Satírico,0,0,0,OUTRO Outros,3,33 Piadas sobre personagens da política,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_038,2018,1,Band,1,CATCH Catchphrase,0,0,0,0,0,0,0,0,0,0,1 Superioridade,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,2 Satírico,0,0,0,OUTRO Outros,3,32 Alusões literárias ou culturais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_039,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,0,0,0,0,0,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,2,24 Ação conectiva de engajamento relativo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_040,2018,1,Band,0,OUTRO Outros,1,0,0,0,0,0,0,0,0,0,0 Nenhum ou não-identificado,2 Narrativa coletiva ou pública,0 Nenhum ou não-identificado,1 Explicativo ou informativo,0,0,0,OUTRO Outros,1,14 Retórica crítica e apelo à credibilidade da fonte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_041,2018,1,Band,1,REAC Reaction Face ou GIF,0,0,0,0,0,0,0,0,0,0,9 Dúvida,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,3 Fático,0,0,0,OUTRO Outros,3,32 Alusões literárias ou culturais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_042,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,1,0,0,0,1,0 Nenhum ou não-identificado,2 Narrativa coletiva ou pública,0 Nenhum ou não-identificado,1 Explicativo ou informativo,0,0,0,OUTRO Outros,1,14 Retórica crítica e apelo à credibilidade da fonte,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
BAND_043,2018,1,Band,0,OUTRO Outros,1,0,0,0,0,1,0,0,1,1,0 Nenhum ou não-identificado,1 Narrativa privada ou pessoal,2 Agenda positiva de crítica aos abusos do poder público,1 Explicativo ou informativo,0,0,0,OUTRO Outros,1,11 Retórica propositiva e apelo pragmático,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BAND_044,2018,1,Band,1,REAC Reaction Face ou GIF,0,0,0,0,0,0,0,0,0,0,1 Superioridade,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,3 Fático,0,0,0,OUTRO Outros,3,32 Alusões literárias ou culturais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_045,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,0,0,0,0,0,0 Nenhum ou não-identificado,1 Narrativa privada ou pessoal,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_046,2018,1,Band,1,REAC Reaction Face ou GIF,0,0,1,0,0,0,0,0,0,0,3 Incongruência,1 Narrativa privada ou pessoal,1 Agenda negativa autodeterminação,2 Satírico,0,0,0,OUTRO Outros,2,24 Ação conectiva de engajamento relativo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_047,2018,1,Band,1,EXPLO Exploitable,0,0,0,0,0,1,0,0,0,1,1 Superioridade,1 Narrativa privada ou pessoal,1 Agenda negativa autodeterminação,2 Satírico,0,0,1,OUTRO Outros,3,33 Piadas sobre personagens da política,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_048,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,1,0,0,0,0,0 Nenhum ou não-identificado,1 Narrativa privada ou pessoal,0 Nenhum ou não-identificado,3 Fático,0,0,0,OUTRO Outros,2,24 Ação conectiva de engajamento relativo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAND_049,2018,1,Band,1,REAC Reaction Face ou GIF,0,0,0,0,0,1,0,0,0,0,1 Superioridade,1 Narrativa privada ou pessoal,0 Nenhum ou não-identificado,2 Satírico,0,0,0,OUTRO Outros,3,34 Piadas situacionais,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAND_050,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,1,0,0,0,0,0 Nenhum ou não-identificado,2 Narrativa coletiva ou pública,0 Nenhum ou não-identificado,1 Explicativo ou informativo,0,0,0,OUTRO Outros,1,14 Retórica crítica e apelo à credibilidade da fonte,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
BAND_051,2018,1,Band,1,EXPLO Exploitable,0,0,0,0,0,0,0,0,0,1,3 Incongruência,2 Narrativa coletiva ou pública,1 Agenda negativa autodeterminação,2 Satírico,0,0,1,OUTRO Outros,3,33 Piadas sobre personagens da política,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAND_052,2018,1,Band,1,EXPLO Exploitable,0,0,0,0,0,1,0,0,0,0,3 Incongruência,1 Narrativa privada ou pessoal,9 Dúvida,2 Satírico,0,0,0,OUTRO Outros,3,34 Piadas situacionais,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAND_053,2018,1,Band,0,OUTRO Outros,0,0,0,0,0,1,0,0,0,0,0 Nenhum ou não-identificado,1 Narrativa privada ou pessoal,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,0,0,0,OUTRO Outros,2,22 Ação conectiva híbrida e redes catalisadas por organizações,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAND_054,2018,1,Band,1,REAC Reaction Face ou GIF,0,0,0,0,0,0,0,0,0,0,1 Superioridade,0 Nenhum ou não-identificado,0 Nenhum ou não-identificado,3 Fático,1,0,0,OUTRO Outros,3,32 Alusões literárias ou culturais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
