date_value,date_unique
26/06/2018,13
27/06/2018,6
28/06/2018,17
29/06/2018,7
30/06/2018,2
01/07/2018,5
02/07/2018,3
03/07/2018,1
04/07/2018,4
05/07/2018,3
06/07/2018,0
07/07/2018,0
08/07/2018,2
09/07/2018,18
10/07/2018,0
11/07/2018,2
12/07/2018,4
13/07/2018,0
14/07/2018,0
15/07/2018,11
16/07/2018,3
17/07/2018,1
18/07/2018,3
19/07/2018,0
20/07/2018,1
21/07/2018,0
22/07/2018,0
23/07/2018,12
24/07/2018,6
25/07/2018,6
26/07/2018,2
27/07/2018,2
28/07/2018,7
29/07/2018,6
30/07/2018,3
31/07/2018,5
01/08/2018,8
02/08/2018,2
03/08/2018,4
04/08/2018,5
05/08/2018,18
06/08/2018,10
07/08/2018,4
08/08/2018,3
09/08/2018,8
10/08/2018,9
11/08/2018,11
12/08/2018,14
13/08/2018,21
14/08/2018,12
15/08/2018,26
16/08/2018,12
17/08/2018,39
18/08/2018,56
19/08/2018,83
20/08/2018,70
21/08/2018,62
22/08/2018,101
23/08/2018,102
24/08/2018,79
25/08/2018,110
26/08/2018,95
27/08/2018,62
28/08/2018,62
29/08/2018,52
30/08/2018,65
31/08/2018,86
01/09/2018,94
02/09/2018,70
03/09/2018,117
04/09/2018,140
05/09/2018,129
06/09/2018,124
07/09/2018,219
08/09/2018,228
09/09/2018,168
10/09/2018,151
11/09/2018,192
12/09/2018,209
13/09/2018,185
14/09/2018,208
15/09/2018,223
16/09/2018,283
17/09/2018,322
18/09/2018,464
19/09/2018,494
20/09/2018,481
21/09/2018,300
22/09/2018,270
23/09/2018,239
24/09/2018,357
25/09/2018,352
26/09/2018,390
27/09/2018,372
28/09/2018,485
29/09/2018,94
30/09/2018,382
01/10/2018,175
02/10/2018,0
03/10/2018,0
04/10/2018,0
05/10/2018,167
06/10/2018,303
07/10/2018,141
08/10/2018,804
09/10/2018,451
10/10/2018,477
11/10/2018,437
12/10/2018,404
13/10/2018,472
14/10/2018,432
15/10/2018,325
16/10/2018,331
17/10/2018,260
18/10/2018,282
19/10/2018,248
20/10/2018,227
21/10/2018,204
22/10/2018,193
23/10/2018,232
24/10/2018,303
25/10/2018,414
26/10/2018,289
27/10/2018,226
28/10/2018,146
29/10/2018,188
30/10/2018,185
31/10/2018,260
01/11/2018,208
02/11/2018,260
03/11/2018,237
04/11/2018,172
05/11/2018,172
06/11/2018,168
07/11/2018,180
08/11/2018,123
09/11/2018,120
10/11/2018,181
11/11/2018,236
12/11/2018,157
13/11/2018,127
14/11/2018,109
15/11/2018,105
16/11/2018,159
17/11/2018,186
18/11/2018,204
